"activity_goals_outcomes","activity_name","activity_type","attended_people","budget","company_name","description","end_date","feedback_mechanism","frequency_of_recurrence","id","is_recurring","key_partners_sponsors","location","number_of_participants_expected","resources_needed_provided","rsvpd_list","start_date","success_metrics","target_audience"
"Lot operation foreign wish plant fast.","Exclusive optimal service-desk","Networking","MC-2024-Q9K7, SL-2024-DERE, KH-2024-FR72, CP-2024-JBTK, CM-2024-BXWZ, CR-2024-Q71O, AM-2024-1GPL, MS-2024-4ASJ, JN-2024-BT5H, JM-2024-433E, DR-2024-MYGB, JP-2024-JAEV","","Huff-Valenzuela","Age walk poor significant leader often man vote experience staff hit defense responsibility project follow in.","2024-12-29T17:23:28.756547","","Weekly","ACT-1734434608-Y861YK","True","","Virtual (Online)","348","Training materials, Equipment, Refreshments","JN-2024-BT5H, DR-2024-MYGB, AM-2024-1GPL, LB-2024-1K0W, JM-2024-433E, MC-2024-Q9K7, JP-2024-JAEV, CP-2024-JBTK, MS-2024-4ASJ, CR-2024-Q71O, SL-2024-DERE, CM-2024-BXWZ, JT-2024-YVAV, AC-2024-GNFA, KH-2024-FR72, ES-2024-5BEZ","2024-12-27T17:23:28.756547","Number of participants, Engagement levels","Public"
"Give along significant house plant in name end bank why.","User-friendly foreground Graphical User Interface","Networking","LH-2024-IRNW, JY-2024-C39Q","","Novak, Krause and Jones","Short development watch hit interest area two today various understand stop real good spend within entire bit particular foreign large.","2025-01-07T17:23:28.756610","","Ad Hoc","ACT-1734434608-FT8LWQ","True","","638 Cole Causeway Suite 670, Brownmouth, WI 48707","207","Training materials, Equipment, Refreshments","LH-2024-IRNW, JY-2024-C39Q, JM-2024-433E","2025-01-03T17:23:28.756610","Number of participants, Engagement levels","Youth"
"Discuss again drop interesting future Republican west get.","Operative multi-state protocol","Social Responsibility","GM-2024-PCWL, CD-2024-VOH3, VH-2024-65IC, TN-2024-YCSC","","Lane PLC","Learn return determine election source all name economic reason near start surface walk standard collection start determine.","2025-01-06T17:23:28.756857","Feedback Form","Daily","ACT-1734434608-KOPIWZ","True","Brown PLC","Virtual (Online)","429","Training materials, Equipment, Refreshments","CD-2024-VOH3, JB-2024-J6LA, WR-2024-RY8C, AS-2024-YGBQ, TN-2024-YCSC, SM-2024-DAEF, VR-2024-5CWP, SD-2024-D0LK, VH-2024-65IC, MS-2024-4ASJ, MB-2024-B6HL, DH-2024-G0LX, PG-2024-DPN6, AH-2024-4ZZH, GM-2024-PCWL","2025-01-05T17:23:28.756857","Number of participants, Engagement levels","Public"
"Discuss bar somebody law design his marriage popular.","Object-based tertiary projection","Workshop","MM-2024-I2GZ, JY-2024-7MJB, JF-2024-QH29, RG-2024-25UT, JG-2024-310A, JP-2024-2TQF","","Perkins-Allen","Open once one lose energy add maybe ready nor letter program possible look simply where left peace necessary.","2025-01-02T17:23:28.757009","Survey","Weekly","ACT-1734434608-5BKBKP","True","","Unit 2866 Box 2212, DPO AA 34228","159","","MM-2024-I2GZ, RG-2024-25UT, JY-2024-7MJB, JP-2024-2TQF, JG-2024-310A, MS-2024-0WEQ, JC-2024-E8TQ, DM-2024-GAYU, JF-2024-QH29, LS-2024-CGQQ, MN-2024-OLZ9","2024-12-28T17:23:28.757009","Number of participants, Engagement levels","Youth"
"Task site rock protect pass stand home visit.","Customizable intermediate core","Community Outreach","VB-2024-QUA8, AD-2024-KSDG, JT-2024-UMLB, LP-2024-U82X, DS-2024-9TFV, WB-2024-C1BT, ER-2024-FMC3, EJ-2024-INWD","","Green Inc","Democrat rise by describe baby up quickly get you ask necessary according ahead.","2024-12-24T17:23:28.757090","","","ACT-1734434608-Q00E38","False","","352 John Squares, North Nathan, VA 37861","120","","WB-2024-C1BT, CM-2024-BXWZ, JT-2024-UMLB, VN-2024-VDLC, LP-2024-U82X, EJ-2024-INWD, VB-2024-QUA8, ST-2024-GO2P, DS-2024-9TFV, JF-2024-ZOSM, AD-2024-KSDG, ER-2024-FMC3, CS-2024-E1ZS, SB-2024-AA1H, LY-2024-3KNY, CM-2024-PL2A","2024-12-23T17:23:28.757090","Number of participants, Engagement levels","Customers"
"Simply or what ball Mr law assume inside.","Versatile zero tolerance moderator","Recruitment","","$25997","Foster, Avila and Brown","Some drive event present name key wrong safe though serious cut century likely.","2024-12-22T17:23:28.757286","Feedback Form","","ACT-1734434608-VXMK9X","False","Lucas, Sullivan and Moran, Warren PLC, Page-York","452 Emily Prairie Apt. 604, New Victorland, NC 88137","277","","GR-2024-OBMA, MH-2024-P4M2, NG-2024-7Q1E, BT-2024-9QYG, DS-2024-61HD","2024-12-21T17:23:28.757286","Number of participants, Engagement levels","Students"
"Type they though degree radio record.","Mandatory uniform task-force","Community Outreach","JS-2024-G2NQ, KB-2024-H1ZQ, TM-2024-6DP9, JT-2024-KR2N","$15887","Grant-Bradley","Night gun mother while son would bed establish necessary beat them general large look option firm hospital.","2025-01-09T17:23:28.758142","Survey","","ACT-1734434608-P7U9XU","False","","Virtual (Online)","21","","TM-2024-6DP9, JT-2024-KR2N, KC-2024-7Z9R, KB-2024-H1ZQ, MB-2024-A9ZU, JS-2024-G2NQ, SG-2024-RFPO, KM-2024-02ER","2025-01-06T17:23:28.758142","Number of participants, Engagement levels","Customers"
"Since age or close appear party put.","Inverse bifurcated framework","Social Responsibility","LG-2024-A4WS, MB-2024-QBCP, AS-2024-JU7F, MO-2024-NQKE, DH-2024-T4LX, DH-2024-YT8A, JR-2024-Y9U4","$42556","Leonard, Morgan and Hodges","Through forward recent role reality avoid ground relate realize his trade best imagine anything.","2025-01-12T17:23:28.758277","Survey","","ACT-1734434608-X0GGFO","False","","Virtual (Online)","249","","WW-2024-COX7, DH-2024-T4LX, DH-2024-YT8A, LG-2024-A4WS, JR-2024-Y9U4, MB-2024-QBCP, AS-2024-JU7F, MO-2024-NQKE","2025-01-08T17:23:28.758277","Number of participants, Engagement levels","Youth"
"Way especially remain morning music reveal send region factor likely heart too.","Robust systemic customer loyalty","Community Outreach","CB-2024-Y6F9, DM-2024-C2V8, MH-2024-0XKP, MN-2024-47CY, AG-2024-SQFB","$73429","Cain, Nguyen and Wilson","Summer senior range way middle knowledge election more the health best often firm much sense.","2024-12-31T17:23:28.758346","Survey","Daily","ACT-1734434608-S27I9A","True","Stokes, Beltran and Lee","4278 Miles Glen, Johnsonbury, GU 94431","452","","MH-2024-0XKP, DM-2024-C2V8, MN-2024-47CY, AG-2024-SQFB, CB-2024-Y6F9","2024-12-29T17:23:28.758346","Number of participants, Engagement levels","Youth"
"Idea responsibility hair foreign cover purpose remain city prove.","Managed composite protocol","Workshop","JW-2024-1US0, JP-2024-6KQM, CC-2024-XMNX, VA-2024-W2RQ","$48991","Gibson, Torres and Zavala","Physical young pass really ground support quite street that.","2025-01-03T17:23:28.758970","Feedback Form","","ACT-1734434608-V8MEJH","False","Peters-Pena, Shaw Ltd","95614 Brown Common Suite 644, Frankport, MO 27337","412","","JP-2024-6KQM, JR-2024-Y9U4, BN-2024-ZZIB, AR-2024-5IVP, DA-2024-Q2JR, CC-2024-XMNX, JW-2024-1US0, SR-2024-1JR5, VA-2024-W2RQ","2024-12-29T17:23:28.758970","Number of participants, Engagement levels","Customers"
"Thus structure behavior call water family cup employee case future.","Diverse bandwidth-monitored implementation","Product Launch","WB-2024-ODWY, NR-2024-JP6I, DP-2024-YNUL, SP-2024-JO5D, AR-2024-Z8EY, HM-2024-27VY, WR-2024-PMNT, JH-2024-XDRC, SF-2024-WRA6, CG-2024-ASBT, CH-2024-ZKB3","","Pena-Johnson","Successful worker do again around week sound western still sure minute approach collection.","2024-12-25T17:23:28.759458","","Daily","ACT-1734434608-RPNZS4","True","","607 Eric Walks Suite 089, Shawnshire, WV 64817","202","","WB-2024-ODWY, JS-2024-FTWB, CC-2024-1K06, SF-2024-WRA6, VR-2024-5CWP, CH-2024-ZKB3, CG-2024-ASBT, MH-2024-I49W, DP-2024-YNUL, NR-2024-JP6I, WR-2024-PMNT, HM-2024-27VY, AM-2024-XN5Y, SP-2024-JO5D, JH-2024-XDRC, TB-2024-A3TO, JC-2024-MNNZ, AR-2024-Z8EY","2024-12-22T17:23:28.759458","Number of participants, Engagement levels","Youth"
"Direction too central lawyer arrive rest economy give walk country other.","Enterprise-wide logistical monitoring","Community Outreach","JG-2024-3HFD, BR-2024-6113, CT-2024-X52Q, MB-2024-O9DA, CH-2024-1BJ6, DA-2024-Q2JR, SW-2024-MJJ5, WD-2024-EB8U, MC-2024-PU6Z, CM-2024-XIQR, CP-2024-JBTK, TC-2024-DBY9, KM-2024-OGXL, SG-2024-LQJ7, MB-2024-A9ZU, DW-2024-R1Q4","","Gibson, Torres and Zavala","Itself write moment meet recently forward share dog political get party something music of whom theory.","2025-01-03T17:23:28.759677","Survey","","ACT-1734434608-Z0YKR2","False","","Virtual (Online)","448","Training materials, Equipment, Refreshments","CT-2024-X52Q, MB-2024-O9DA, MC-2024-PU6Z, BR-2024-6113, CM-2024-XIQR, MB-2024-A9ZU, CH-2024-1BJ6, WD-2024-EB8U, TC-2024-DBY9, DW-2024-R1Q4, SW-2024-MJJ5, DA-2024-Q2JR, KM-2024-OGXL, JG-2024-3HFD, CP-2024-JBTK, SG-2024-LQJ7","2025-01-01T17:23:28.759677","Number of participants, Engagement levels","Public"
"Language pattern break to western than beyond reveal parent all return fire skill.","Visionary foreground project","Networking","JS-2024-40WY","","Clark, Leon and Kim","Past understand tell card window green everybody parent play such suddenly itself high Democrat free.","2025-01-03T17:23:28.759744","","Ad Hoc","ACT-1734434608-JTQEJ5","True","","Virtual (Online)","463","Training materials, Equipment, Refreshments","KG-2024-65A7, TP-2024-5PGK, MB-2024-B6HL, JS-2024-40WY","2025-01-02T17:23:28.759744","Number of participants, Engagement levels","Partners"
"Ability happy notice side instead western remember rather room nearly.","De-engineered real-time architecture","Workshop","WT-2024-4OTT, JF-2024-WQ71","$7068","Thompson Group","Partner decision south green quality truth idea speech information son red continue check thank what cause range.","2025-01-07T17:23:28.759812","","Annually","ACT-1734434608-Y1KXSK","True","Hodges, Newton and Gibson","Virtual (Online)","336","","WS-2024-A2JZ, JF-2024-WQ71, MB-2024-7XMZ, WT-2024-4OTT, TH-2024-GX80, KF-2024-UPLH, MH-2024-0XKP, JB-2024-J6LA, TC-2024-DBY9, SG-2024-1YRM","2025-01-02T17:23:28.759812","Number of participants, Engagement levels","Employees"
"Idea partner marriage avoid agent without act pick.","Assimilated content-based strategy","Workshop","CM-2024-IAE2, LG-2024-A4WS, AP-2024-NEXE, JM-2024-LFEH","$54782","Miller LLC","Whose north size leader low mean year second no billion same anyone where data to expert leader note.","2025-01-13T17:23:28.760100","Feedback Form","","ACT-1734434608-39W5MD","False","","4799 Rachel Center, Lake Kevinmouth, NM 48199","445","Training materials, Equipment, Refreshments","GB-2024-FBBM, CM-2024-IAE2, JM-2024-LFEH, LG-2024-A4WS, AP-2024-NEXE","2025-01-09T17:23:28.760100","Number of participants, Engagement levels","Public"
"Peace organization clear remain environment scene main seat south.","Monitored bifurcated customer loyalty","Community Outreach","JB-2024-J6LA, TP-2024-5PGK, MS-2024-1C33, DM-2024-NFNM, CC-2024-ECT5, NG-2024-7Q1E, SW-2024-R8I9, AR-2024-Z8EY, JA-2024-5MRU, DH-2024-KVX7, CD-2024-VOH3, BH-2024-DZSU, WB-2024-C1BT","$23848","Sanders, Smith and Byrd","Election glass pay service career raise hard prevent look buy step rather time fine argue maintain many newspaper.","2025-01-05T17:23:28.760298","Survey","Ad Hoc","ACT-1734434608-GGTEPR","True","Mcmillan PLC, Gardner, Newton and Hernandez","Virtual (Online)","250","Training materials, Equipment, Refreshments","DM-2024-NFNM, AH-2024-VI7O, BP-2024-AQA1, DH-2024-KVX7, AR-2024-Z8EY, CC-2024-ECT5, CD-2024-VOH3, NB-2024-01HU, BS-2024-G9WT, NG-2024-7Q1E, SW-2024-R8I9, JL-2024-EY5X, TP-2024-5PGK, MS-2024-1C33, BH-2024-DZSU, JA-2024-5MRU, WB-2024-C1BT, JB-2024-J6LA, RM-2024-TI1F, AG-2024-055O","2025-01-04T17:23:28.760298","Number of participants, Engagement levels","Volunteers"
"All leg better west suffer amount light move officer performance his.","Re-contextualized attitude-oriented firmware","Employee Engagement","CH-2024-ZKHA, TP-2024-39OO, DM-2024-NFNM, DS-2024-61HD, MP-2024-EW6W, SS-2024-1P14, MG-2024-LTUK, RB-2024-GWBP, MP-2024-59VQ, CM-2024-PL2A, BT-2024-RGBH, TP-2024-P27U, MD-2024-HSSU","","Alvarez Ltd","Treatment way beat yard along he pull idea foot enjoy western low value company floor.","2025-01-04T17:23:28.760678","","Monthly","ACT-1734434608-CR7I66","True","","18718 Brown Neck Suite 824, Nicholasstad, NC 39948","240","","CH-2024-ZKHA, CM-2024-PL2A, SS-2024-1P14, MG-2024-LTUK, DM-2024-NFNM, MP-2024-EW6W, TP-2024-39OO, MD-2024-HSSU, MP-2024-59VQ, DS-2024-61HD, TP-2024-P27U, RB-2024-GWBP, BT-2024-RGBH","2025-01-03T17:23:28.760678","Number of participants, Engagement levels","Employees"
"Treatment future than situation still two source nor certain.","Integrated needs-based strategy","Networking","EJ-2024-OYRN, BN-2024-P69W, WR-2024-RY8C, JH-2024-ZVR7","$40268","Hunter-Arnold","Natural court management radio tonight her smile marriage let.","2024-12-27T17:23:28.760911","Survey","Weekly","ACT-1734434608-HS8BYU","True","","Virtual (Online)","444","Training materials, Equipment, Refreshments","FR-2024-5Q13, JN-2024-UF7C, LG-2024-A4WS, SH-2024-CZAE, VN-2024-BNWC, CG-2024-HXRR, BN-2024-P69W, WR-2024-RY8C, LB-2024-1K0W, DZ-2024-A7KB, MM-2024-HGIR, JH-2024-ZVR7, JC-2024-MNNZ, EJ-2024-OYRN, JC-2024-E8TQ","2024-12-24T17:23:28.760911","Number of participants, Engagement levels","Partners"
"Western thought near despite outside other discover site now personal explain nearly.","Monitored non-volatile architecture","Product Launch","JS-2024-ARHT, DF-2024-MBMA, LR-2024-65LC, TM-2024-FBYQ","$96747","Mccann-Mendoza","Sell care radio several none until capital fire financial.","2024-12-27T17:23:28.760980","Feedback Form","","ACT-1734434608-P6PNIN","False","Bridges and Sons","Virtual (Online)","445","Training materials, Equipment, Refreshments","LR-2024-65LC, TM-2024-FBYQ, DF-2024-MBMA, JS-2024-ARHT, VS-2024-IFRK","2024-12-25T17:23:28.760980","Number of participants, Engagement levels","Youth"
"General though because course drug thought consumer although event man sense.","Reduced value-added middleware","Training Session","AS-2024-PQEO","$96892","Anderson-Walker","Degree instead center fill important she call training read wind together it professional order believe meeting speak official.","2024-12-24T17:23:28.761119","","","ACT-1734434608-HISXSF","False","","Virtual (Online)","394","","KM-2024-02ER, AS-2024-PQEO, AF-2024-VKOM, WF-2024-XSYZ","2024-12-23T17:23:28.761119","Number of participants, Engagement levels","Youth"
"Generation life sell or eye outside environment.","Synergistic asymmetric data-warehouse","Employee Engagement","GB-2024-PV64, WP-2024-WCNH, LR-2024-65LC, SH-2024-CZAE, DH-2024-EULE, AC-2024-QZ90, CR-2024-5Y26, BH-2024-E5Z8, BJ-2024-W9X3, JR-2024-99SS, DF-2024-MBMA, VB-2024-9CO9","","Berry, Allen and Warren","Common believe foreign author increase why ball the cover itself pull.","2024-12-25T17:23:28.761173","Feedback Form","","ACT-1734434608-4QUBLZ","False","","Virtual (Online)","496","Training materials, Equipment, Refreshments","VB-2024-9CO9, DF-2024-MBMA, BJ-2024-W9X3, BH-2024-E5Z8, CR-2024-5Y26, DH-2024-EULE, AC-2024-QZ90, JR-2024-99SS, SM-2024-FEIS, SH-2024-CZAE, LR-2024-65LC, WP-2024-WCNH, GB-2024-PV64","2024-12-21T17:23:28.761173","Number of participants, Engagement levels","Students"
"Investment tough drug fish notice impact fill happen economy threat agent.","Business-focused empowering policy","Networking","MB-2024-8ABR, MW-2024-JLPP, AG-2024-VJE5, BT-2024-RGBH, AG-2024-0H9Z","","Miller-Thompson","Receive air house individual should risk develop system customer.","2024-12-23T17:23:28.761233","","","ACT-1734434608-EQBHGA","False","Rocha PLC, Acosta, Blankenship and Duffy","905 Rebecca Road, South Leahtown, MP 80525","382","Training materials, Equipment, Refreshments","MO-2024-NQKE, DC-2024-GM3Q, CF-2024-KX2C, MB-2024-9IRJ, HM-2024-27VY, MW-2024-JLPP, AB-2024-3TVO, MB-2024-8ABR, KK-2024-FFT6, AG-2024-0H9Z, RY-2024-Q7S0, BT-2024-RGBH, AG-2024-VJE5, SH-2024-AJ0Y","2024-12-18T17:23:28.761233","Number of participants, Engagement levels","Volunteers"
"Offer administration half site for miss anyone.","Multi-layered systemic hierarchy","Employee Engagement","JG-2024-S7BV, MC-2024-34IO, CJ-2024-MMMI, CB-2024-SUPU, TC-2024-DBY9","$92270","Johnson-Contreras","Treatment management black nearly visit during instead fly move medical commercial sell culture general ten reason.","2025-01-07T17:23:28.761736","Feedback Form","","ACT-1734434608-ZO3UX8","False","Richardson PLC, Campos Group, Wheeler-Brown","917 Moore Plaza Apt. 360, Port Joel, LA 53700","228","Training materials, Equipment, Refreshments","TC-2024-DBY9, WP-2024-LR67, MC-2024-34IO, CJ-2024-MMMI, DF-2024-XCW2, GF-2024-LN7K, JT-2024-637G, CB-2024-SUPU, JG-2024-WDAR, JG-2024-S7BV, CN-2024-KRXJ, KT-2024-6I02","2025-01-05T17:23:28.761736","Number of participants, Engagement levels","Students"
"Surface bank bed research purpose increase time office value economic.","Persistent exuding encoding","Social Responsibility","CB-2024-I39A, KN-2024-JPMR, MT-2024-53Y1, WB-2024-IZUN, BR-2024-6113, CN-2024-KRXJ, SR-2024-YLXP","$22290","Smith, Powers and Hamilton","Modern why head floor rock business add open whose national business environment management item.","2025-01-03T17:23:28.762288","Survey","Ad Hoc","ACT-1734434608-SK2AAZ","True","Perez-Goodman","Virtual (Online)","480","","MP-2024-EW6W, DM-2024-NFNM, KM-2024-OGXL, MC-2024-6WSG, RG-2024-GVUI, SR-2024-P9R6, WB-2024-IZUN, CC-2024-ECT5, MT-2024-53Y1, KN-2024-JPMR, CB-2024-I39A, BR-2024-6113, JB-2024-5NLJ, SR-2024-YLXP, MP-2024-59VQ, MF-2024-848N, CN-2024-KRXJ","2024-12-29T17:23:28.762288","Number of participants, Engagement levels","Employees"
"Mission of attention far wrong act bar our treat rule line assume generation nice.","Re-contextualized 4thgeneration budgetary management","Employee Engagement","ST-2024-GO2P","","Harvey, Nelson and Page","Choice truth issue serious nation record certain Congress any approach.","2025-01-11T17:23:28.762572","Feedback Form","","ACT-1734434608-DCJGGN","False","","132 Quinn Glen, North Elizabeth, MN 59684","92","","VB-2024-12GK, SH-2024-WBVO, ML-2024-SVVG, AG-2024-SQFB, KC-2024-DQZU, ST-2024-GO2P","2025-01-08T17:23:28.762572","Number of participants, Engagement levels","Public"
"Green drive including sport power own but claim man least.","User-friendly heuristic benchmark","Community Outreach","KB-2024-32DR","$11483","Huff-Valenzuela","Fight including model alone together task per best weight stop benefit although matter probably professor plant over smile above as none.","2025-01-15T17:23:28.762806","Survey","Weekly","ACT-1734434608-FSP7KO","True","Cooper PLC","Virtual (Online)","77","Training materials, Equipment, Refreshments","KB-2024-32DR","2025-01-14T17:23:28.762806","Number of participants, Engagement levels","Students"
"Number law listen chance suddenly prevent teach third above capital.","Re-engineered composite success","Employee Engagement","MM-2024-6D76, CR-2024-Q71O, JS-2024-H91R, JB-2024-J6LA, GH-2024-CL8S, AC-2024-GNFA, JT-2024-YQF0, DN-2024-YBSQ","$42748","Lewis, Morales and Bryan","Ago create talk notice on day once lot front dark benefit action next.","2025-01-18T17:23:28.762942","Survey","Annually","ACT-1734434608-VXR88Q","True","","Virtual (Online)","496","","VH-2024-65IC, JT-2024-YQF0, DN-2024-YBSQ, JS-2024-H91R, JB-2024-J6LA, AC-2024-GNFA, MM-2024-6D76, GH-2024-CL8S, CR-2024-Q71O","2025-01-13T17:23:28.762942","Number of participants, Engagement levels","Youth"
"View raise grow television cultural treatment style rich ahead detail beyond get describe.","Optimized bandwidth-monitored array","Product Launch","CC-2024-1K06, DP-2024-YNUL, DF-2024-MBMA, CR-2024-Q71O, WH-2024-Y3CV, MG-2024-D514","","Blake, Underwood and Jacobs","Democratic author suddenly my military key husband world last board spring visit project man arm month free common daughter direction.","2025-01-09T17:23:28.763001","","","ACT-1734434608-CTFQZS","False","","Virtual (Online)","171","Training materials, Equipment, Refreshments","AW-2024-SGGR, DH-2024-2G3C, SS-2024-UWWA, CC-2024-1K06, ES-2024-5BEZ, DP-2024-YNUL, LR-2024-65LC, WH-2024-Y3CV, SG-2024-KYP3, BG-2024-I473, JC-2024-7DQV, MG-2024-D514, DF-2024-MBMA, DW-2024-R1Q4, BN-2024-ZZIB, CR-2024-Q71O","2025-01-04T17:23:28.763001","Number of participants, Engagement levels","Youth"
"Town watch population position kind now.","Re-contextualized asymmetric frame","Recruitment","MM-2024-AANQ, MS-2024-1C33, JH-2024-XDRC, DP-2024-U098, AF-2024-OR8C","$22130","Sanders Ltd","Threat create indeed series life program church always black PM change dog candidate answer great sport.","2025-01-16T17:23:28.763061","Survey","","ACT-1734434608-YIVUK3","False","Long-Sloan, Morrow, Shaw and Walter","7730 Kelly Haven, Rebeccachester, OR 38657","87","Training materials, Equipment, Refreshments","MM-2024-AANQ, JR-2024-M381, MS-2024-1C33, DP-2024-U098, JH-2024-XDRC, AF-2024-OR8C, AT-2024-ODDL, VM-2024-QWFY","2025-01-13T17:23:28.763061","Number of participants, Engagement levels","Employees"
"Head various indeed attack hospital heart pick attorney along ability sit arm.","Universal multimedia instruction set","Community Outreach","DZ-2024-A7KB, SM-2024-UD7W, AB-2024-09GP, TD-2024-HFJP, MN-2024-QS81, KR-2024-POMD","","Wilson Ltd","Face common coach rate television real capital pressure cost medical before instead.","2024-12-30T17:23:28.763650","Feedback Form","","ACT-1734434608-MR0GA3","False","Griffin, King and Reyes","Virtual (Online)","385","","TD-2024-HFJP, MN-2024-QS81, SM-2024-UD7W, EP-2024-G34X, CR-2024-Q71O, DZ-2024-A7KB, KR-2024-POMD, AB-2024-09GP","2024-12-28T17:23:28.763650","Number of participants, Engagement levels","Public"
"Opportunity eight food single happy girl.","Organic multimedia paradigm","Community Outreach","JB-2024-RH9M","","Mcdonald, Mcbride and Sloan","Talk entire environmental usually month college open forget determine star production movie why major official.","2025-01-13T17:23:28.763944","Survey","","ACT-1734434608-X8XE9A","False","Jensen Group, Quinn and Sons, Gilbert, Thomas and Sanders","Virtual (Online)","373","","JB-2024-RH9M","2025-01-11T17:23:28.763944","Number of participants, Engagement levels","Volunteers"
"Back note government war commercial home foot manager officer sure.","Versatile multimedia budgetary management","Networking","TH-2024-E7SX, MM-2024-PPW8, DZ-2024-A7KB, MS-2024-YGWM, LH-2024-GHX4, AR-2024-5IVP, JC-2024-E8TQ","$60077","Becker, Anderson and Sullivan","Their his door region image before minute push everybody assume.","2025-01-09T17:23:28.764343","Feedback Form","","ACT-1734434608-A3500V","False","Wood-Wells, Frost LLC, Sanchez Group","974 Estrada Mountains, Peggymouth, RI 76961","33","","MS-2024-YGWM, LH-2024-GHX4, MM-2024-PPW8, TH-2024-E7SX, DZ-2024-A7KB, JC-2024-E8TQ, AR-2024-5IVP","2025-01-04T17:23:28.764343","Number of participants, Engagement levels","Customers"
"Sort plant itself already theory bit challenge senior tree task.","Quality-focused foreground middleware","Community Outreach","DB-2024-7PI0, DS-2024-9TFV, CF-2024-KX2C, WM-2024-9IS2, AG-2024-055O, CP-2024-HOH4, PK-2024-16S3, SD-2024-9T6O","$44906","Jones, Perez and Valencia","Collection what yes follow everything effect office begin small product skill partner music.","2025-01-03T17:23:28.764875","Survey","Monthly","ACT-1734434608-Y8YS4U","True","Cook Ltd, Gill Group","Virtual (Online)","332","","CP-2024-HOH4, DS-2024-9TFV, CF-2024-KX2C, SD-2024-9T6O, AG-2024-055O, PK-2024-16S3, WM-2024-9IS2, ST-2024-OT6G, DB-2024-7PI0","2024-12-31T17:23:28.764875","Number of participants, Engagement levels","Students"
"Idea short again past simply figure.","Optimized high-level database","Social Responsibility","DR-2024-GVJT","$22270","Hawkins-Rose","Sure close hard both their test place western and hope old pull including call check fast policy.","2025-01-03T17:23:28.765087","Survey","","ACT-1734434608-L9WLQF","False","","58318 Andrea Ports, Matthewtown, OK 76699","168","Training materials, Equipment, Refreshments","MC-2024-34IO, DR-2024-GVJT, BG-2024-I473","2024-12-31T17:23:28.765087","Number of participants, Engagement levels","Public"
"Teacher foreign wind dog generation assume meet price book doctor rest ground general why.","Centralized solution-oriented core","Product Launch","CG-2024-ASBT, DP-2024-YNUL","","Powell-Smith","Sign deep choose recently while chance center majority audience necessary color smile fund Mr word.","2025-01-01T17:23:28.765276","Feedback Form","","ACT-1734434608-DMPBSU","False","Oneill, Miller and Holloway","16125 Jeffrey Walk Suite 556, Griffinview, PR 88827","254","","AR-2024-5IVP, MC-2024-34IO, CG-2024-ASBT, VB-2024-KTI1, GB-2024-FBBM, DP-2024-YNUL, SW-2024-R8I9, MC-2024-PU6Z, SM-2024-WOD5","2024-12-28T17:23:28.765276","Number of participants, Engagement levels","Students"
"Oil arm laugh national pretty especially moment chance region company rich.","Fundamental user-facing benchmark","Recruitment","JR-2024-XN5C, GG-2024-I4AG, DR-2024-GVJT, MH-2024-I49W, ES-2024-5BEZ, DB-2024-RP3T, VN-2024-VDLC, WB-2024-Y5HV","","Mccann-Mendoza","Try must action police act should only staff morning people thought must lot.","2025-01-12T17:23:28.765714","Survey","Ad Hoc","ACT-1734434608-WHRT03","True","","696 Shawn Ridge, Elliottburgh, OH 07727","28","Training materials, Equipment, Refreshments","JR-2024-XN5C, WB-2024-Y5HV, DB-2024-RP3T, MH-2024-I49W, GG-2024-I4AG, DR-2024-GVJT, ES-2024-5BEZ, VN-2024-VDLC","2025-01-08T17:23:28.765714","Number of participants, Engagement levels","Volunteers"
"Line without art late strategy travel her national paper company campaign.","Monitored needs-based product","Employee Engagement","","","Taylor and Sons","Side open close oil onto suffer run whole service floor never society.","2025-01-17T17:23:28.765913","","","ACT-1734434608-0DES1V","False","","Virtual (Online)","377","Training materials, Equipment, Refreshments","WR-2024-PMNT, KF-2024-UPLH, MF-2024-848N, JG-2024-I3VC, ES-2024-5BEZ, SD-2024-D0LK, JH-2024-ZVR7, DB-2024-7PI0, TC-2024-DBY9, LP-2024-274P, BH-2024-DZSU, JT-2024-YVAV, JB-2024-J6LA, VB-2024-S6GI","2025-01-12T17:23:28.765913","Number of participants, Engagement levels","Public"
"Reduce court when pattern see question senior social word.","Multi-layered multi-state toolset","Training Session","VB-2024-KTI1, AM-2024-HCMR, JA-2024-5MRU, TM-2024-FBYQ, JC-2024-MNNZ, MB-2024-7XMZ","","Ward, Garrison and Blake","Believe travel special knowledge respond truth moment contain single some house thank fight production why who section.","2025-01-20T17:23:28.765963","","Monthly","ACT-1734434608-D8THML","True","Smith LLC, Harris, Taylor and Mata","5237 Harvey Fords, Michaelhaven, GA 94813","424","Training materials, Equipment, Refreshments","LB-2024-1K0W, SH-2024-OOE7, JC-2024-MNNZ, BH-2024-DZSU, SW-2024-MJJ5, AG-2024-VJE5, VB-2024-KTI1, AM-2024-HCMR, MB-2024-7XMZ, TM-2024-FBYQ, JM-2024-NTUY, JA-2024-5MRU, WS-2024-A2JZ","2025-01-16T17:23:28.765963","Number of participants, Engagement levels","Customers"
